,target
35383,functional
35384,functional
35385,non functional
35386,functional needs repair
35387,functional needs repair
35388,non functional
35389,non functional
35390,functional
35391,non functional
35392,functional
35393,non functional
35394,functional
35395,non functional
35396,functional
35397,non functional
35398,functional
35399,functional
35400,non functional
35401,non functional
35402,functional
35403,non functional
35404,functional
35405,non functional
35406,functional
35407,non functional
35408,non functional
35409,functional
35410,functional
35411,functional
35412,non functional
35413,non functional
35414,non functional
35415,non functional
35416,non functional
35417,functional
35418,functional
35419,functional
35420,non functional
35421,non functional
35422,functional
35423,non functional
35424,functional
35425,non functional
35426,non functional
35427,non functional
35428,functional needs repair
35429,non functional
35430,non functional
35431,non functional
35432,non functional
35433,non functional
35434,functional
35435,non functional
35436,non functional
35437,functional
35438,functional
35439,non functional
35440,non functional
35441,functional
35442,functional
35443,functional
35444,functional
35445,functional
35446,functional
35447,functional
35448,non functional
35449,non functional
35450,non functional
35451,non functional
35452,functional
35453,functional
35454,functional
35455,non functional
35456,functional
35457,functional
35458,non functional
35459,functional
35460,functional
35461,non functional
35462,non functional
35463,non functional
35464,functional needs repair
35465,non functional
35466,functional
35467,non functional
35468,functional needs repair
35469,functional
35470,non functional
35471,functional
35472,functional
35473,functional
35474,non functional
35475,non functional
35476,non functional
35477,functional
35478,non functional
35479,non functional
35480,functional
35481,functional
35482,functional needs repair
35483,functional needs repair
35484,functional needs repair
35485,functional
35486,functional
35487,functional
35488,functional
35489,functional
35490,functional
35491,functional
35492,functional
35493,non functional
35494,non functional
35495,functional
35496,functional
35497,non functional
35498,functional
35499,functional
35500,functional
35501,functional
35502,functional
35503,functional
35504,functional
35505,functional
35506,functional
35507,functional
35508,functional
35509,functional
35510,functional
35511,non functional
35512,functional
35513,functional
35514,non functional
35515,non functional
35516,non functional
35517,non functional
35518,non functional
35519,non functional
35520,functional
35521,functional
35522,functional
35523,functional
35524,functional
35525,functional
35526,non functional
35527,functional
35528,functional
35529,functional needs repair
35530,functional needs repair
35531,functional
35532,functional needs repair
35533,functional
35534,functional
35535,functional
35536,functional
35537,non functional
35538,functional
35539,functional
35540,functional
35541,non functional
35542,non functional
35543,functional needs repair
35544,functional
35545,non functional
35546,functional
35547,non functional
35548,non functional
35549,functional
35550,functional
35551,functional
35552,functional
35553,functional
35554,functional
35555,functional
35556,functional
35557,non functional
35558,non functional
35559,functional
35560,functional needs repair
35561,functional
35562,functional
35563,non functional
35564,functional
35565,non functional
35566,functional
35567,non functional
35568,functional
35569,functional
35570,non functional
35571,functional
35572,functional
35573,non functional
35574,non functional
35575,functional
35576,functional
35577,functional
35578,non functional
35579,non functional
35580,functional
35581,non functional
35582,functional needs repair
35583,non functional
35584,functional
35585,functional
35586,functional needs repair
35587,non functional
35588,functional
35589,non functional
35590,functional
35591,functional
35592,non functional
35593,functional
